,Team,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM.1,OppO,OppD,AdjEM.2,Year
0,Houston ,28.82,118.4,89.6,63.3,0.025,4.21,107.3,103.1,0.63,2023
1,UCLA ,27.63,114.9,87.2,66.3,-0.001,9.0,109.7,100.7,0.72,2023
2,Alabama ,27.54,116.1,88.6,72.7,0.074,11.66,110.9,99.2,10.56,2023
3,Connecticut ,25.37,119.4,94.1,66.7,-0.061,8.51,109.1,100.6,-1.39,2023
4,Tennessee ,24.71,112.7,88.0,65.5,-0.071,8.77,109.5,100.7,3.16,2023
5,Texas ,24.57,116.6,92.0,69.1,0.02,12.11,111.0,98.9,-0.66,2023
6,Purdue ,24.55,119.4,94.8,64.4,0.032,9.84,110.4,100.6,0.95,2023
7,Gonzaga ,24.31,124.0,99.7,70.1,0.047,7.49,110.2,102.7,8.31,2023
8,Kansas ,23.14,114.6,91.5,69.3,0.106,14.26,111.7,97.5,6.82,2023
9,Arizona ,22.86,120.0,97.1,72.3,0.041,8.83,107.9,99.1,3.47,2023
10,Saint Marys ,21.9,113.5,91.6,61.7,0.004,6.38,110.2,103.8,4.61,2023
11,Marquette ,21.83,119.3,97.5,68.4,0.014,8.67,109.5,100.9,-1.14,2023
12,Creighton ,20.65,114.6,94.0,68.0,-0.074,10.34,110.9,100.5,6.44,2023
13,San Diego St ,20.25,111.9,91.7,66.0,0.047,8.96,110.4,101.4,7.47,2023
14,Baylor ,19.98,121.9,101.9,66.6,0.032,12.93,110.8,97.9,1.92,2023
15,Xavier ,19.69,119.3,99.6,70.4,-0.004,9.78,110.3,100.5,3.89,2023
16,West Virginia ,19.14,117.1,98.0,68.9,-0.054,12.74,111.0,98.2,2.26,2023
17,Utah St ,18.88,117.8,98.9,68.8,0.008,7.68,108.8,101.1,3.52,2023
18,Memphis ,18.69,114.7,96.0,71.8,-0.037,7.22,108.5,101.3,6.59,2023
19,Arkansas ,18.63,112.6,94.0,69.7,-0.072,9.9,109.9,100.0,3.73,2023
20,Duke ,18.49,113.2,94.8,65.3,0.059,6.78,109.8,103.0,2.07,2023
21,Maryland ,18.37,114.1,95.8,64.6,-0.039,8.01,109.3,101.3,-3.92,2023
22,Iowa St ,18.33,109.9,91.6,64.3,-0.034,12.88,112.4,99.5,-1.29,2023
23,Kansas St ,18.31,112.5,94.2,70.2,0.036,10.4,109.3,98.9,-2.59,2023
24,Texas A&M ,18.28,114.5,96.2,66.2,0.042,7.83,108.8,100.9,-2.46,2023
25,Florida Atlantic ,18.23,114.3,96.0,68.4,0.053,0.41,105.6,105.1,-2.52,2023
26,TCU ,18.06,112.4,94.3,69.8,-0.034,10.7,109.8,99.1,-7.05,2023
27,Kentucky ,17.8,117.4,99.6,66.0,-0.014,8.65,109.4,100.7,0.8,2023
28,Auburn ,17.45,112.7,95.2,67.6,-0.029,9.73,109.5,99.7,3.89,2023
29,Indiana ,17.36,114.7,97.3,68.1,0.022,10.59,110.7,100.1,-3.4,2023
30,Boise St ,17.13,111.0,93.8,66.5,0.013,7.6,109.5,101.9,1.37,2023
31,Michigan St ,16.71,113.4,96.7,64.9,0.015,12.27,112.3,100.0,5.71,2023
32,Illinois ,16.48,112.2,95.7,69.4,-0.045,8.48,109.1,100.6,-6.02,2023
33,Virginia ,16.41,111.2,94.8,61.6,0.045,5.59,108.5,102.9,1.84,2023
34,Rutgers,15.77,105.8,90.1,65.9,-0.092,7.95,109.9,101.9,-7.79,2023
35,USC ,15.63,113.1,97.5,68.1,0.018,7.84,107.4,99.5,1.63,2023
36,Iowa ,15.6,120.5,104.9,69.5,-0.042,9.61,108.9,99.3,-2.09,2023
37,Oklahoma St,15.21,107.8,92.6,67.6,-0.026,12.33,110.8,98.5,0.74,2023
38,Penn St ,15.04,116.8,101.8,64.6,0.009,9.72,109.6,99.9,-4.72,2023
39,Miami FL ,14.91,118.2,103.3,68.9,0.017,4.75,108.0,103.2,-2.77,2023
40,Oregon,14.84,114.5,99.6,66.3,-0.015,10.06,109.0,99.0,6.14,2023
41,Northwestern ,14.83,108.5,93.7,64.9,0.033,8.6,109.5,100.8,-4.22,2023
42,Nevada ,14.79,112.0,97.2,66.1,0.013,7.7,109.4,101.7,3.81,2023
43,Providence ,14.73,116.8,102.1,66.9,-0.01,6.55,108.3,101.7,-8.98,2023
